V_EQ[V],I_EQ[A],Delta_V_EQ[V],Delta_RD_EQ[Ohm],P_CPL_EQ[W]
"[1040.8, 1019.2, 940.8, 1025.3, 1028.3, 944.6]","[25.8, 51.7, 77.5, 25.8, 51.7, 77.5]","[447.15, 447.15, 447.15, 447.15, 447.15, 447.15]","[-17.6, -8.9, -6.8, -18.3, -9, -6.6]","[10000.0, 25000.0, 100000.0, 25000.0, 50000.0, 100000.0]"
"[1028.8, 1018.2, 967.1, 1017.3, 1005.8, 964.2]","[19.2, 38.3, 57.5, 19.2, 38.3, 57.5]","[429.49, 429.49, 429.49, 429.49, 429.49, 429.49]","[-18.2, -9, -6.4, -18.7, -9.4, -5.4]","[10000.0, 25000.0, 100000.0, 25000.0, 50000.0, 20000.0]"
"[1011.4, 1002.4, 965.3, 1002.4, 996.8, 1022.7]","[22.5, 45.0, 67.5, 22.5, 45.0, 67.5]","[466.12, 466.12, 466.12, 466.12, 466.12, 466.12]","[-17.7, -8.9, -6.8, -18.2, -9, -6.5]","[10000.0, 25000.0, 100000.0, 25000.0, 10000.0, 100000.0]"
"[1018.9, 1008.5, 974.8, 1011.0, 1001.4, 986.7]","[15.8, 31.7, 47.5, 15.8, 31.7, 47.5]","[353.93, 353.93, 353.93, 353.93, 353.93, 353.93]","[-17.8, -8.9, -6.6, -18.4, -9.3, -6.2]","[10000.0, 25000.0, 100000.0, 25000.0, 10000.0, 20000.0]"
"[1033.5, 1017.5, 943.5, 1023.8, 1026.0, 954.4]","[24.2, 48.3, 72.5, 24.2, 48.3, 72.5]","[464.5, 464.5, 464.5, 464.5, 464.5, 464.5]","[-17.5, -8.9, -7.1, -17.7, -9.2, -6.8]","[10000.0, 25000.0, 100000.0, 5000.0, 50000.0, 100000.0]"
"[1026.4, 1015.9, 964.3, 1015.9, 1011.5, 966.9]","[17.5, 35.0, 52.5, 17.5, 35.0, 52.5]","[395.41, 395.41, 395.41, 395.41, 395.41, 395.41]","[-17.7, -8.9, -6.7, -18.2, -9.3, -6.3]","[10000.0, 25000.0, 100000.0, 5000.0, 50000.0, 20000.0]"
"[1026.0, 1012.6, 961.9, 1015.6, 1007.4, 977.5]","[20.8, 41.7, 62.5, 20.8, 41.7, 62.5]","[453.79, 453.79, 453.79, 453.79, 453.79, 453.79]","[-17.6, -8.8, -6.8, -18.1, -9.2, -6.6]","[10000.0, 25000.0, 100000.0, 5000.0, 10000.0, 100000.0]"
"[1026.1, 1014.3, 958.0, 1024.7, 1013.6, 964.4]","[14.2, 28.3, 42.5, 14.2, 28.3, 42.5]","[307.65, 307.65, 307.65, 307.65, 307.65, 307.65]","[-17.7, -8.9, -6.7, -18.2, -9.3, -6.3]","[10000.0, 25000.0, 100000.0, 5000.0, 10000.0, 20000.0]"
"[1031.9, 1019.4, 956.8, 1022.3, 1010.8, 959.7]","[19.2, 38.3, 57.5, 19.2, 38.3, 57.5]","[429.49, 429.49, 429.49, 429.49, 429.49, 429.49]","[-17.8, -8.6, -5.7, -18.4, -9.4, -6.8]","[10000.0, 25000.0, 20000.0, 25000.0, 50000.0, 100000.0]"
"[1017.3, 1008.5, 974.1, 1012.3, 1005.4, 983.5]","[12.5, 25.0, 37.5, 12.5, 25.0, 37.5]","[259.38, 259.38, 259.38, 259.38, 259.38, 259.38]","[-17.8, -8.8, -6.3, -18.4, -9.4, -6.3]","[10000.0, 25000.0, 20000.0, 25000.0, 50000.0, 20000.0]"
