time,c1,c2,c3,c4,c5,c6
0,8.8e-07,8.8e-07,8.8e-07,8.8e-07,8.8e-07,8.8e-07
3.1554e-30,8.8e-07,8.8e-07,8.8e-07,8.8e-07,8.8e-07,8.8e-07
3.4253e-11,3.1023e-05,3.6342e-05,0.00020183,3.1023e-05,3.6342e-05,2.5999e-05
2.0552e-10,0.00018174,0.00021365,0.0012066,0.00018174,0.00021365,0.00015159
1.0618e-09,0.0009353,0.0011002,0.0062303,0.0009353,0.0011002,0.00077956
5.3435e-09,0.0047031,0.0055329,0.031349,0.0047031,0.0055329,0.0039194
2.6752e-08,0.023542,0.027696,0.15693,0.023542,0.027696,0.019618
1.3379e-07,0.11772,0.1385,0.78457,0.11773,0.13851,0.098109
6.69e-07,0.58837,0.69228,3.9143,0.58839,0.69235,0.49045
3.345e-06,2.9341,3.4536,19.146,2.9346,3.4554,2.4488
1.106e-05,9.6054,11.308,54.546,9.6107,11.328,8.0506
1.9766e-05,16.907,19.876,75.926,16.923,19.939,14.254
2.8472e-05,23.888,28.003,84.474,23.922,28.13,20.283
3.8174e-05,31.21,36.411,87.668,31.269,36.63,26.739
4.9406e-05,38.998,45.171,88.64,39.091,45.513,33.798
6.3249e-05,47.496,54.433,88.808,47.637,54.94,41.801
8.1057e-05,56.616,63.915,88.71,56.822,64.633,50.866
0.0001051,65.934,72.937,88.507,66.225,73.907,60.878
0.00013748,74.095,80.052,88.209,74.482,81.282,70.678
0.00016396,78.108,83.142,87.98,78.558,84.527,76.137
0.00019044,80.557,84.807,87.751,81.057,86.313,79.878
0.00021843,82.053,85.672,87.499,82.598,87.282,82.485
0.00024631,82.852,86.021,87.248,83.434,87.721,84.126
0.00027254,83.217,86.093,87.025,83.831,87.868,85.078
0.00029762,83.352,86.03,86.82,83.993,87.873,85.623
0.00032344,83.353,85.89,86.603,84.021,87.799,85.932
0.00035119,83.26,85.692,86.358,83.955,87.67,86.071
0.00037982,83.102,85.46,86.098,83.824,87.506,86.078
0.00040709,82.917,85.226,85.86,83.664,87.335,86
0.00043246,82.727,85.002,85.655,83.497,87.168,85.88
0.00045767,82.528,84.777,85.45,83.32,86.998,85.73
0.00048474,82.308,84.535,85.218,83.122,86.813,85.547
0.00051371,82.068,84.276,84.959,82.906,86.613,85.334
0.00054221,81.83,84.022,84.703,82.691,86.415,85.115
0.00056838,81.611,83.79,84.489,82.492,86.234,84.908
0.00059326,81.402,83.57,84.295,82.302,86.061,84.708
0.00061939,81.183,83.34,84.079,82.102,85.879,84.497
0.00064809,80.943,83.089,83.829,81.883,85.679,84.264
0.00067767,80.697,82.832,83.562,81.657,85.473,84.023
