time,I_bus_1,I_bus_2,I_bus_3
0,8.08e-07,8.08e-07,8.08e-07
0.0001,72.202,85.625,66.034
0.0002,124.06,146.12,119.59
0.0003,156.45,181.77,158.22
0.0004,174.06,199.42,183.23
0.0005,181.89,206,197.61
0.0006,183.69,206.37,204.47
0.0007,181.97,203.4,206.32
0.0008,178.23,198.67,204.96
0.0009,173.36,193.04,201.58
0.001,167.88,186.96,196.97
0.0011,162.08,180.68,191.61
0.0012,156.14,174.33,185.82
0.0013,150.17,167.98,179.79
0.0014,144.22,161.67,173.65
0.0015,138.32,155.44,167.47
0.0016,132.51,149.28,161.31
0.0017,126.79,143.23,155.19
0.0018,121.17,137.27,149.14
0.0019,115.67,131.41,143.18
0.002,110.28,125.66,137.31
0.0021,105,120.02,131.54
0.0022,99.851,114.49,125.87
0.0023,94.822,109.07,120.32
0.0024,89.916,103.77,114.88
0.0025,85.136,98.588,109.55
0.0026,80.485,93.524,104.34
0.0027,75.962,88.58,99.249
0.0028,71.569,83.758,94.279
0.0029,67.309,79.061,89.431
0.003,63.181,74.489,84.707
0.0031,59.188,70.045,80.109
0.0032,55.329,65.73,75.637
0.0033,51.607,61.546,71.294
0.0034,48.023,57.495,67.08
0.0035,44.576,53.577,62.996
0.0036,41.267,49.794,59.045
0.0037,38.097,46.148,55.226
0.0038,35.067,42.64,51.541
0.0039,32.175,39.271,47.99
0.004,29.422,36.042,44.575
0.0041,26.808,32.953,41.295
0.0042,24.332,30.005,38.152
0.0043,21.992,27.199,35.144
0.0044,19.788,24.534,32.273
0.0045,17.717,22.01,29.539
0.0046,15.779,19.627,26.939
0.0047,13.971,17.383,24.474
0.0048,12.29,15.278,22.144
0.0049,10.733,13.31,19.945
0.005,9.2972,11.477,17.878
0.0051,7.9794,9.7771,15.939
0.0052,6.7753,8.2067,14.128
0.0053,5.681,6.7632,12.44
0.0054,4.6919,5.4431,10.875
0.0055,3.8036,4.2424,9.4273
0.0056,3.011,3.1569,8.0949
0.0057,2.3092,2.1822,6.8738
0.0058,1.6929,1.3132,5.76
0.0059,1.1568,0.54488,4.7493
0.006,0.69563,-0.1282,3.8372
0.0061,0.30386,-0.71164,3.0191
0.0062,-0.0239,-1.2112,2.2901
0.0063,-0.29302,-1.6327,1.6453
0.0064,-0.50877,-1.9822,1.0797
0.0065,-0.67632,-2.2655,0.58804
0.0066,-0.80068,-2.4885,0.16524
0.0067,-0.88666,-2.657,-0.19389
0.0068,-0.93887,-2.7767,-0.49446
0.0069,-0.96168,-2.853,-0.74152
0.007,-0.9592,-2.8913,-0.94
0.0071,-0.93528,-2.8966,-1.0947
0.0072,-0.89348,-2.8735,-1.2102
0.0073,-0.83709,-2.8267,-1.291
0.0074,-0.76909,-2.7601,-1.3413
0.0075,-0.69219,-2.6776,-1.365
