time,I_bus_1,I_bus_2,I_bus_3
0,8.08e-07,8.08e-07,8.08e-07
3.1554e-30,8.08e-07,8.08e-07,8.08e-07
2.114e-10,0.00017162,0.00020176,0.00014934
1.2684e-09,0.0010257,0.0012065,0.00089198
6.5533e-09,0.0052958,0.0062303,0.0046052
3.2978e-08,0.026646,0.031348,0.023171
1.651e-07,0.13338,0.15693,0.11599
8.2571e-07,0.6667,0.78447,0.57996
4.1288e-06,3.3239,3.9134,2.896
2.0644e-05,16.363,19.315,14.372
9.6777e-05,70.022,83.128,64.156
0.00023349,135.41,159.44,134.89
0.00041242,171.1,197.7,187.85
0.00056745,176.79,202.22,206.8
0.00074645,171.53,195.56,211.48
0.00096093,159.74,182.56,205.7
0.0012298,143.46,165.04,191.86
0.0015571,124.49,144.55,172.35
0.0019786,102.23,120.22,147.17
0.0024712,79.203,94.675,119.58
0.0030218,57.163,69.713,91.837
0.003649,36.811,45.978,64.624
0.0043675,19.651,25.134,39.533
0.0051784,7.5373,9.5964,19.158
0.0060909,1.1442,0.79934,5.6175
0.0071266,-0.62979,-1.9488,-0.52849
0.008351,-0.17477,-1.4627,-1.2962
0.0098898,0.41118,-0.63566,-0.32332
0.010786,0.4588,-0.51875,-0.044377
0.011683,0.46314,-0.53313,0.013778
0.01283,0.38668,-0.54182,-0.014563
0.01383,0.44843,-0.59551,-0.046952
0.014831,0.34639,-0.54354,-0.051119
0.01585,0.45909,-0.59662,-0.058669
0.016864,0.32031,-0.51953,-0.047618
0.017863,0.45817,-0.5854,-0.055192
0.018868,0.3199,-0.5118,-0.045326
0.019911,0.45428,-0.57527,-0.054206
0.021002,0.28206,-0.48672,-0.041875
0.022117,0.48534,-0.57803,-0.056917
0.023121,0.34143,-0.51329,-0.044883
0.024043,0.34206,-0.50651,-0.049077
0.024867,0.36667,-0.52092,-0.049941
0.025759,0.35236,-0.50694,-0.047956
0.026917,0.38702,-0.52071,-0.047959
0.027904,0.31251,-0.47781,-0.042697
0.028891,0.39183,-0.51645,-0.04724
0.029921,0.28477,-0.45795,-0.040283
0.030955,0.42,-0.52424,-0.048736
0.031951,0.26153,-0.44033,-0.038123
0.032927,0.3963,-0.5053,-0.046778
0.033941,0.27199,-0.43998,-0.038148
0.035028,0.41004,-0.50454,-0.047488
0.036161,0.20258,-0.40047,-0.032065
0.03722,0.40095,-0.48717,-0.048127
0.03815,0.32068,-0.45731,-0.041109
0.039013,0.30172,-0.44354,-0.042795
0.039877,0.3185,-0.44956,-0.042579
0.040917,0.28917,-0.42836,-0.039073
0.042131,0.40903,-0.48901,-0.04497
