time,v1,v2,v3,v4,v5,v6,vbus
0,8.8e-13,8.8e-13,8.8e-13,8.8e-13,8.8e-13,8.8e-13,8.8e-13
3.1554e-30,8.8e-13,8.8e-13,8.8e-13,8.8e-13,8.8e-13,8.8e-13,8.8e-13
3.4253e-11,3.163e-11,3.7139e-11,2.053e-10,3.1478e-11,3.6696e-11,2.6459e-11,6.1451e-11
2.0552e-10,2.0259e-10,2.4121e-10,1.3307e-09,1.9737e-10,2.259e-10,1.6726e-10,3.9417e-10
1.0618e-09,1.4876e-09,1.8309e-09,9.5386e-09,1.3495e-09,1.425e-09,1.1939e-09,2.8043e-09
5.3435e-09,1.8667e-08,2.4014e-08,1.1511e-07,1.5176e-08,1.3747e-08,1.4394e-08,3.3517e-08
2.6752e-08,3.7343e-07,4.908e-07,2.2561e-06,2.8596e-07,2.3351e-07,2.8205e-07,6.5364e-07
1.3379e-07,8.8685e-06,1.1721e-05,5.3275e-05,6.6809e-06,5.2862e-06,6.6625e-06,1.5416e-05
6.69e-07,0.00021931,0.00029031,0.0013143,0.00016464,0.00012937,0.00016469,0.00038044
3.345e-06,0.0054619,0.0072449,0.032351,0.0040991,0.0032173,0.0041159,0.0094151
1.106e-05,0.059334,0.079038,0.32561,0.044573,0.034987,0.045177,0.09812
1.9766e-05,0.18784,0.25088,0.90218,0.14128,0.11085,0.14451,0.28959
2.8472e-05,0.38557,0.51518,1.5983,0.29035,0.22753,0.29925,0.5527
3.8174e-05,0.68328,0.9115,2.4225,0.51523,0.4029,0.53486,0.9117
4.9406e-05,1.1227,1.4919,3.3921,0.84789,0.66078,0.88669,1.4003
6.3249e-05,1.7904,2.3629,4.5869,1.3547,1.0502,1.4285,2.0956
8.1057e-05,2.8253,3.6889,6.1157,2.1429,1.6483,2.2825,3.1173
0.0001051,4.4721,5.7468,8.1666,3.4027,2.5881,3.6711,4.6745
0.00013748,7.0069,8.8143,10.913,5.3535,4.0135,5.8652,6.9944
0.00016396,9.2521,11.454,13.153,7.0923,5.2633,7.8528,9.0111
0.00019044,11.589,14.142,15.389,8.9123,6.5586,9.9532,11.091
0.00021843,14.116,16.997,17.752,10.892,7.9596,12.251,13.328
0.00024631,16.665,19.832,20.105,12.901,9.3772,14.586,15.578
0.00027254,19.075,22.482,22.319,14.812,10.726,16.805,17.703
0.00029762,21.382,24.994,24.435,16.651,12.026,18.934,19.737
0.00032344,23.756,27.556,26.614,18.553,13.374,21.125,21.83
0.00035119,26.3,30.283,28.954,20.603,14.831,23.474,24.074
0.00037982,28.917,33.066,31.367,22.722,16.345,25.887,26.384
0.00040709,31.399,35.691,33.664,24.744,17.796,28.173,28.578
0.00043246,33.699,38.109,35.798,26.626,19.152,30.287,30.612
0.00045767,35.973,40.49,37.916,28.497,20.507,32.374,32.626
0.00048474,38.406,43.024,40.189,30.506,21.968,34.602,34.782
0.00051371,40.996,45.711,42.616,32.656,23.54,36.97,37.081
0.00054221,43.53,48.329,44.999,34.77,25.093,39.282,39.334
0.00056838,45.847,50.713,47.184,36.711,26.526,41.393,41.396
0.00059326,48.038,52.962,49.257,38.555,27.893,43.386,43.349
0.00061939,50.33,55.307,51.43,40.49,29.335,45.467,45.393
0.00064809,52.836,57.862,53.811,42.615,30.926,47.74,47.632
0.00067767,55.403,60.473,56.258,44.802,32.571,50.065,49.929
0.00070514,57.777,62.881,58.525,46.831,34.105,52.212,52.055
0.00073021,59.932,65.062,60.588,48.68,35.51,54.159,53.988
0.00075539,62.087,67.239,62.655,50.536,36.925,56.106,55.925
0.00078322,64.458,69.629,64.933,52.585,38.494,58.244,58.057
0.00081336,67.012,72.2,67.392,54.8,40.2,60.547,60.358
0.00084245,69.464,74.662,69.758,56.934,41.85,62.756,62.571
0.00086839,71.64,76.845,71.861,58.835,43.327,64.717,64.537
0.00089296,73.692,78.9,73.846,60.633,44.729,66.564,66.394
0.00091948,75.898,81.107,75.984,62.571,46.247,68.549,68.392
0.00094937,78.371,83.578,78.384,64.75,47.961,70.774,70.636
0.00097997,80.889,86.091,80.832,66.978,49.721,73.04,72.925
0.0010075,83.143,88.338,83.026,68.977,51.308,75.068,74.977
0.0010321,85.149,90.336,84.981,70.761,52.729,76.872,76.805
0.0010573,87.192,92.37,86.973,72.583,54.186,78.71,78.669
0.001086,89.516,94.681,89.243,74.661,55.854,80.801,80.793
0.0011175,92.048,97.197,91.718,76.932,57.685,83.079,83.11
0.0011471,94.416,99.549,94.035,79.062,59.409,85.211,85.28
0.0011727,96.449,101.57,96.026,80.894,60.899,87.041,87.146
0.0011968,98.366,103.47,97.905,82.627,62.312,88.768,88.908
0.0012239,100.5,105.58,99.998,84.56,63.894,90.691,90.871
0.0012551,102.96,108.02,102.41,86.791,65.726,92.905,93.135
0.0012868,105.43,110.47,104.84,89.044,67.586,95.138,95.419
0.0013142,107.56,112.58,106.94,90.991,69.197,97.062,97.39
0.0013382,109.43,114.43,108.77,92.693,70.612,98.743,99.112
0.0013634,111.37,116.35,110.68,94.473,72.095,100.5,100.91
0.0013933,113.66,118.62,112.94,96.578,73.855,102.57,103.04
0.0014262,116.18,121.11,115.42,98.896,75.801,104.85,105.38
0.0014562,118.46,123.37,117.67,101,77.577,106.92,107.5
0.0014812,120.36,125.24,119.54,102.75,79.056,108.63,109.26
0.001505,122.15,127.02,121.31,104.41,80.465,110.26,110.94
0.0015327,124.23,129.07,123.36,106.34,82.102,112.14,112.87
0.0015654,126.67,131.49,125.78,108.62,84.044,114.36,115.16
0.0015981,129.11,133.89,128.18,110.88,85.984,116.57,117.44
0.0016253,131.12,135.88,130.17,112.76,87.599,118.41,119.32
0.0016487,132.85,137.59,131.88,114.38,88.992,119.98,120.95
0.001674,134.71,139.43,133.72,116.12,90.494,121.67,122.69
0.001705,136.97,141.67,135.96,118.24,92.334,123.74,124.82
0.0017393,139.48,144.14,138.43,120.59,94.379,126.02,127.17
0.0017697,141.68,146.32,140.61,122.67,96.186,128.03,129.25
0.0017942,143.45,148.07,142.36,124.33,97.644,129.65,130.92
0.0018177,145.13,149.73,144.03,125.93,99.042,131.2,132.51
0.0018459,147.16,151.73,146.04,127.84,100.72,133.05,134.42
0.00188,149.59,154.14,148.45,130.15,102.76,135.28,136.73
0.0019136,151.98,156.5,150.81,132.41,104.76,137.47,138.99
0.0019407,153.89,158.38,152.7,134.22,106.36,139.23,140.8
0.0019636,155.51,159.98,154.3,135.76,107.73,140.72,142.33
0.001989,157.29,161.75,156.07,137.46,109.25,142.36,144.03
0.002021,159.52,163.95,158.28,139.59,111.15,144.42,146.15
0.0020566,162,166.4,160.73,141.96,113.27,146.7,148.51
0.0020807,163.67,168.05,162.39,143.56,114.7,148.25,150.1
0.0021049,165.34,169.7,164.04,145.16,116.14,149.79,151.69
0.0021358,167.46,171.8,166.15,147.19,117.98,151.75,153.72
0.0021722,169.95,174.26,168.62,149.58,120.14,154.06,156.1
0.0021971,171.65,175.94,170.3,151.22,121.62,155.63,157.73
0.002222,173.34,177.62,171.98,152.85,123.1,157.21,159.35
0.0022533,175.46,179.7,174.07,154.88,124.96,159.17,161.37
0.0022892,177.87,182.09,176.47,157.22,127.09,161.42,163.69
0.0023143,179.56,183.76,178.14,158.84,128.57,162.99,165.31
0.0023394,181.23,185.42,179.8,160.47,130.06,164.55,166.92
0.0023706,183.31,187.47,181.86,162.48,131.91,166.49,168.92
0.0024064,185.69,189.82,184.21,164.78,134.03,168.71,171.21
0.0024319,187.37,191.48,185.88,166.41,135.53,170.28,172.82
0.0024573,189.04,193.13,187.53,168.04,137.04,171.84,174.44
0.0024886,191.09,195.16,189.57,170.03,138.88,173.77,176.42
0.0025243,193.42,197.47,191.88,172.3,140.99,175.95,178.67
0.00255,195.09,199.12,193.53,173.93,142.5,177.52,180.28
0.0025756,196.75,200.76,195.18,175.55,144.01,179.08,181.89
0.002607,198.77,202.76,197.18,177.53,145.86,180.99,183.85
0.0026427,201.07,205.03,199.46,179.77,147.96,183.14,186.07
0.0026749,203.13,207.07,201.5,181.79,149.85,185.09,188.07
0.0027008,204.78,208.7,203.14,183.4,151.37,186.65,189.67
0.0027249,206.31,210.21,204.65,184.9,152.78,188.09,191.16
0.0027534,208.11,212,206.44,186.67,154.45,189.8,192.91
0.0027883,210.31,214.18,208.62,188.83,156.49,191.88,195.05
0.0028237,212.53,216.37,210.82,191.02,158.56,193.99,197.22
0.0028525,214.33,218.16,212.61,192.79,160.24,195.7,198.97
0.0028764,215.83,219.63,214.08,194.26,161.63,197.11,200.42
0.0029021,217.42,221.21,215.66,195.83,163.12,198.63,201.98
0.0029344,219.42,223.19,217.65,197.8,165,200.53,203.93
0.0029714,221.7,225.44,219.9,200.05,167.15,202.7,206.16
0.0029969,223.27,226.99,221.46,201.6,168.63,204.2,207.69
0.0030225,224.83,228.54,223.01,203.15,170.11,205.69,209.22
0.0030545,226.78,230.47,224.94,205.08,171.96,207.56,211.13
0.0030916,229.03,232.7,227.18,207.31,174.1,209.71,213.34
0.0031175,230.6,234.25,228.73,208.87,175.6,211.21,214.88
0.0031435,232.17,235.8,230.28,210.42,177.09,212.71,216.41
0.0031757,234.1,237.71,232.2,212.34,178.94,214.56,218.31
