time,V_MG
0,2.424e-12
0.0001,6.3289
0.0002,23.327
0.0003,47.717
0.0004,76.608
0.0005,107.89
0.0006,140.17
0.0007,172.61
0.0008,204.68
0.0009,236.11
0.001,266.71
0.0011,296.39
0.0012,325.09
0.0013,352.8
0.0014,379.51
0.0015,405.21
0.0016,429.92
0.0017,453.64
0.0018,476.39
0.0019,498.19
0.002,519.05
0.0021,538.99
0.0022,558.02
0.0023,576.17
0.0024,593.46
0.0025,609.9
0.0026,625.52
0.0027,640.33
0.0028,654.35
0.0029,667.61
0.003,680.13
0.0031,691.92
0.0032,703.02
0.0033,713.43
0.0034,723.18
0.0035,732.3
0.0036,740.8
0.0037,748.71
0.0038,756.05
0.0039,762.84
0.004,769.11
0.0041,774.88
0.0042,780.16
0.0043,784.99
0.0044,789.39
0.0045,793.37
0.0046,796.96
0.0047,800.19
0.0048,803.07
0.0049,805.63
0.005,807.89
0.0051,809.86
0.0052,811.58
0.0053,813.05
0.0054,814.3
0.0055,815.35
0.0056,816.22
0.0057,816.92
0.0058,817.46
0.0059,817.88
0.006,818.17
0.0061,818.37
0.0062,818.46
0.0063,818.48
0.0064,818.44
0.0065,818.33
0.0066,818.18
0.0067,818
0.0068,817.78
0.0069,817.54
0.007,817.28
0.0071,817.02
0.0072,816.75
0.0073,816.47
0.0074,816.2
0.0075,815.94
0.0076,815.69
0.0077,815.44
0.0078,815.21
0.0079,815
0.008,814.79
0.0081,814.6
0.0082,814.43
0.0083,814.27
0.0084,814.13
0.0085,814
0.0086,813.88
0.0087,813.77
0.0088,813.68
0.0089,813.6
0.009,813.53
0.0091,813.47
0.0092,813.42
0.0093,813.38
0.0094,813.35
0.0095,813.32
0.0096,813.29
0.0097,813.28
0.0098,813.26
0.0099,813.25
0.01,813.24
0.0101,813.24
0.0102,813.24
0.0103,813.24
0.0104,813.24
0.0105,813.24
0.0106,813.24
0.0107,813.24
0.0108,813.24
0.0109,813.24
0.011,813.24
0.0111,813.24
0.0112,813.24
0.0113,813.24
