time,V_bus_1,V_bus_2,V_bus_3,V_MG
0,8.08e-13,8.08e-13,8.08e-13,8.08e-13
3.1554e-30,8.08e-13,8.08e-13,8.08e-13,8.08e-13
2.114e-10,2.2684e-10,2.4458e-10,1.6521e-10,2.1221e-10
1.2684e-09,2.9983e-09,2.7379e-09,1.4582e-09,2.3981e-09
6.5533e-09,5.7887e-08,4.7064e-08,1.9698e-08,4.155e-08
3.2978e-08,1.3581e-06,1.0652e-06,4.0526e-07,9.4284e-07
1.651e-07,3.3499e-05,2.6066e-05,9.6928e-06,2.3086e-05
8.2571e-07,0.00083464,0.00064859,0.00024019,0.00057447
4.1288e-06,0.020782,0.01617,0.006002,0.014318
2.0644e-05,0.51028,0.40004,0.15095,0.35376
9.6777e-05,10.246,8.2737,3.3736,7.2976
0.00023349,49.489,41.483,19.386,36.786
0.00041242,118.62,102.89,56.166,92.558
0.00056745,179.48,159.54,96.954,145.32
0.00074645,244.21,222.43,148.77,205.13
0.00096093,312.91,291.74,212.49,272.38
0.0012298,387.73,369.16,290.12,349
0.0015571,465.9,450.86,377.53,431.43
0.0019786,550.25,539.07,476.32,521.88
0.0024712,629.38,621.66,571.93,607.66
0.0030218,696.5,691.66,655.3,681.15
0.003649,749.93,747.37,723.86,740.39
0.0043675,787.4,786.32,774.09,782.6
0.0051784,808.22,807.75,803.83,806.6
0.0060909,815.76,815.28,815.82,815.62
0.0071266,815.83,815.17,816.75,815.92
0.008351,813.9,813.16,814.11,813.72
0.0098898,812.67,812.2,812.54,812.47
0.010786,812.76,812.01,812.36,812.38
0.011683,812.62,812,812.35,812.33
0.01283,812.6,811.9,812.3,812.27
0.01383,812.43,811.81,812.2,812.15
0.014831,812.32,811.7,812.08,812.04
0.01585,812.23,811.55,811.95,811.91
0.016864,812.02,811.49,811.84,811.78
0.017863,812.03,811.29,811.7,811.68
0.018868,811.73,811.28,811.61,811.54
0.019911,811.86,811.03,811.46,811.45
0.021002,811.31,811.13,811.38,811.27
0.022117,812.04,810.61,811.18,811.28
0.023121,810.83,811.01,811.16,811
0.024043,811.53,810.56,811,811.03
0.024867,811.08,810.61,810.93,810.88
0.025759,811.08,810.47,810.83,810.79
0.026917,810.87,810.38,810.71,810.65
0.027904,810.85,810.26,810.6,810.57
0.028891,810.71,810.16,810.49,810.45
0.029921,810.59,810.08,810.39,810.35
0.030955,810.55,809.92,810.27,810.25
0.031951,810.32,809.9,810.19,810.14
0.032927,810.37,809.72,810.07,810.05
0.033941,810.08,809.72,810,809.93
0.035028,810.28,809.46,809.85,809.87
0.036161,809.5,809.68,809.81,809.66
0.03722,810.54,809.07,809.61,809.74
0.03815,809.42,809.43,809.61,809.49
0.039013,809.82,809.14,809.49,809.48
0.039877,809.57,809.13,809.42,809.37
0.040917,809.55,809,809.31,809.29
0.042131,809.31,808.92,809.2,809.15
0.04296,809.33,808.83,809.13,809.1
0.043789,809.23,808.76,809.05,809.02
0.044919,809.14,808.67,808.95,808.92
0.046322,809.11,808.46,808.81,808.79
0.047091,808.94,808.48,808.76,808.73
0.047859,808.87,808.42,808.69,808.66
0.049064,808.77,808.32,808.59,808.56
0.050277,808.69,808.2,808.48,808.46
0.05149,808.4,808.22,808.41,808.34
0.052503,808.71,807.9,808.27,808.29
0.05334,808.33,808.01,808.24,808.19
0.054235,808.37,807.88,808.16,808.13
0.055384,808.13,807.86,808.08,808.02
0.056703,808.8,807.39,807.9,808.03
0.057555,807.85,807.75,807.92,807.84
0.058407,808.06,807.55,807.83,807.81
0.05955,807.75,807.56,807.75,807.69
0.060556,807.96,807.36,807.65,807.66
0.061561,807.63,807.38,807.6,807.54
0.062537,807.74,807.26,807.51,807.5
0.063463,807.58,807.21,807.45,807.41
0.064405,807.53,807.14,807.38,807.35
0.065434,807.47,807.05,807.3,807.27
0.066529,807.31,807.03,807.23,807.19
0.067573,807.42,806.85,807.13,807.13
0.068526,807.12,806.91,807.09,807.04
0.069474,807.25,806.74,807,807
0.070537,806.94,806.79,806.96,806.9
0.071726,807.46,806.43,806.82,806.9
0.072844,806.04,806.98,806.87,806.63
0.073773,807.4,806.31,806.69,806.8
0.074539,806.74,806.5,806.69,806.64
0.075358,806.77,806.4,806.62,806.6
0.076703,806.54,806.37,806.54,806.48
0.077678,806.68,806.23,806.46,806.46
0.078654,806.48,806.22,806.41,806.37
0.079702,806.52,806.12,806.34,806.33
0.080734,806.38,806.06,806.27,806.24
0.081682,806.33,806.03,806.22,806.19
0.082592,806.3,805.95,806.15,806.13
0.083578,806.2,805.92,806.1,806.07
0.08469,806.24,805.79,806.02,806.02
0.085817,805.86,805.89,805.99,805.91
0.086831,806.3,805.57,805.87,805.92
0.087783,805.76,805.76,805.87,805.8
0.088793,806.14,805.5,805.77,805.8
0.089875,805.49,805.7,805.76,805.65
0.090957,806.33,805.28,805.63,805.75
0.091849,805.53,805.52,805.64,805.56
0.092616,805.73,805.38,805.57,805.56
0.09349,805.63,805.35,805.53,805.5
0.094851,805.64,805.25,805.45,805.45
0.095793,805.48,805.24,805.4,805.37
0.096734,805.47,805.18,805.35,805.33
0.097794,805.41,805.12,805.29,805.27
0.098909,805.29,805.11,805.25,805.22
0.099924,805.39,804.95,805.17,805.17
0.10083,805.18,805.01,805.15,805.11
0.10175,805.24,804.9,805.09,805.08
0.10283,805.05,804.92,805.05,805.01
0.10404,805.43,804.65,804.94,805.01
0.10519,804.16,805.17,805.01,804.78
0.10614,805.6,804.47,804.83,804.97
0.10698,804.77,804.76,804.86,804.8
0.10786,804.96,804.61,804.79,804.79
0.10893,804.75,804.62,804.75,804.71
0.11013,804.99,804.47,804.67,804.71
0.11091,804.7,804.51,804.65,804.62
0.11169,804.72,804.46,804.61,804.6
0.11287,804.63,804.42,804.56,804.54
0.11406,804.63,804.35,804.5,804.5
0.11526,804.52,804.29,804.44,804.42
0.11623,804.46,804.32,804.42,804.4
0.11702,804.46,804.23,804.37,804.35
0.11787,804.43,804.2,804.34,804.32
0.11904,804.39,804.14,804.29,804.27
0.12015,804.28,804.14,804.25,804.22
0.12126,804.42,803.98,804.18,804.19
0.1223,804.01,804.13,804.18,804.11
0.12327,804.4,803.88,804.09,804.12
0.12429,803.92,804.05,804.09,804.02
0.12536,804.48,803.74,803.99,804.07
0.12642,803.6,804.06,804.03,803.9
0.1274,804.4,803.69,803.92,804.01
0.1282,803.92,803.82,803.93,803.89
0.129,803.98,803.75,803.88,803.87
0.13012,803.89,803.73,803.84,803.82
0.13128,803.92,803.66,803.8,803.79
0.13244,803.79,803.62,803.75,803.72
0.1334,803.78,803.63,803.73,803.71
0.13421,803.76,803.56,803.69,803.67
0.13507,803.73,803.54,803.66,803.64
0.13625,803.71,803.48,803.61,803.6
0.13733,803.59,803.49,803.58,803.56
0.13841,803.73,803.36,803.52,803.54
0.13946,803.37,803.49,803.52,803.46
0.14046,803.77,803.24,803.44,803.48
0.1415,803.2,803.46,803.46,803.38
0.14255,803.88,803.11,803.36,803.45
0.14356,803.04,803.43,803.4,803.29
0.14451,803.66,803.13,803.32,803.37
0.14534,803.31,803.22,803.31,803.28
0.1462,803.36,803.16,803.27,803.27
0.14731,803.28,803.14,803.24,803.22
0.14861,803.32,803.1,803.2,803.21
0.14938,803.22,803.08,803.17,803.15
0.15015,803.22,803.05,803.15,803.14
0.15135,803.17,803.01,803.11,803.1
0.15256,803.15,802.98,803.08,803.07
0.15378,803.15,802.89,803.02,803.02
0.15477,802.96,802.99,803.03,802.99
0.15556,803.06,802.87,802.98,802.97
0.15641,803.01,802.87,802.96,802.95
0.15757,803.01,802.81,802.92,802.92
0.15895,802.62,802.97,802.93,802.84
0.15977,802.99,802.73,802.85,802.86
0.16058,802.88,802.76,802.84,802.83
0.16174,802.92,802.69,802.8,802.8
0.16318,802.19,802.99,802.83,802.67
0.16401,802.97,802.58,802.73,802.76
0.16483,802.73,802.66,802.73,802.71
0.166,802.87,802.55,802.68,802.7
0.16742,801.58,803.06,802.75,802.47
0.16809,802.73,802.53,802.63,802.63
0.16875,802.68,802.53,802.62,802.61
0.16981,802.63,802.51,802.59,802.58
0.17136,802.8,802.4,802.54,802.58
0.17221,802.52,802.47,802.53,802.51
0.17306,802.58,802.42,802.51,802.5
0.17416,802.51,802.41,802.48,802.47
0.17546,802.53,802.39,802.46,802.46
0.17625,802.47,802.35,802.43,802.42
0.17703,802.46,802.33,802.41,802.4
0.17821,802.43,802.31,802.38,802.37
0.17939,802.39,802.3,802.36,802.35
0.18058,802.49,802.18,802.31,802.32
0.18158,802.18,802.33,802.33,802.28
0.18242,802.39,802.18,802.28,802.28
0.18332,802.28,802.21,802.27,802.25
0.18445,802.37,802.13,802.23,802.24
0.18575,801.76,802.38,802.26,802.14
0.18663,802.45,802.03,802.17,802.22
0.1875,802.13,802.15,802.18,802.15
0.18862,802.37,802.01,802.14,802.17
0.18992,801.38,802.38,802.19,801.98
0.19059,802.2,802.01,802.1,802.11
0.19125,802.14,802.02,802.09,802.09
0.19241,802.1,802.01,802.07,802.06
0.19371,802.13,801.97,802.04,802.05
0.19466,802.05,801.96,802.02,802.01
0.19561,802.05,801.95,802.01,802
0.19666,802.04,801.9,801.98,801.98
0.19776,801.93,801.95,801.98,801.95
0.19879,802.12,801.8,801.93,801.95
0.19972,801.87,801.92,801.94,801.91
0.20067,802.03,801.8,801.9,801.91
0.20176,801.77,801.9,801.9,801.86
0.20297,802.47,801.55,801.81,801.94
0.20406,800.95,802.22,801.93,801.7
0.20496,802.33,801.61,801.8,801.91
0.20571,801.8,801.79,801.83,801.81
0.20655,801.86,801.73,801.8,801.8
0.20803,801.59,801.81,801.79,801.73
0.20891,801.88,801.67,801.75,801.76
0.20978,801.75,801.7,801.74,801.73
0.21092,801.81,801.65,801.72,801.73
0.21194,801.7,801.66,801.71,801.69
0.21295,801.74,801.64,801.69,801.69
0.21395,801.72,801.6,801.67,801.66
0.21492,801.66,801.63,801.66,801.65
0.2159,801.72,801.56,801.63,801.64
0.21691,801.59,801.61,801.63,801.61
0.21798,801.77,801.48,801.59,801.62
0.21905,801.39,801.66,801.61,801.55
0.22009,801.94,801.36,801.54,801.62
0.22112,801.19,801.69,801.6,801.49
0.22211,801.94,801.35,801.51,801.6
0.22307,801.32,801.58,801.55,801.48
0.22397,801.65,801.43,801.51,801.53
0.22486,801.49,801.46,801.5,801.49
0.22585,801.54,801.43,801.48,801.49
0.22698,801.48,801.42,801.47,801.45
0.22807,801.45,801.45,801.46,801.45
0.22899,801.51,801.36,801.43,801.43
0.22983,801.44,801.39,801.43,801.42
0.23079,801.46,801.36,801.41,801.41
0.232,801.33,801.41,801.41,801.38
0.23323,801.86,801.1,801.33,801.43
0.23423,800.9,801.57,801.42,801.3
0.23511,801.59,801.22,801.34,801.38
0.23603,801.25,801.36,801.36,801.32
0.23713,801.58,801.19,801.31,801.36
0.23835,800.67,801.55,801.37,801.2
0.23905,801.4,801.23,801.3,801.31
0.23975,801.32,801.25,801.3,801.29
0.24115,801.32,801.22,801.27,801.27
0.24218,801.25,801.24,801.27,801.26
0.24322,801.34,801.17,801.24,801.25
0.24434,801.1,801.28,801.26,801.21
0.24543,801.57,801.03,801.19,801.26
0.24644,800.87,801.35,801.25,801.16
0.24742,801.55,801.02,801.17,801.25
0.2484,800.95,801.26,801.21,801.14
0.24942,801.47,801.04,801.16,801.22
0.25036,801.05,801.18,801.18,801.13
0.25122,801.23,801.1,801.15,801.16
0.25213,801.15,801.11,801.15,801.14
0.25322,801.17,801.1,801.13,801.13
0.2544,801.17,801.05,801.11,801.11
0.25543,801.03,801.14,801.13,801.1
0.25626,801.15,801.04,801.09,801.09
0.25711,801.1,801.06,801.09,801.08
0.2582,801.13,801.02,801.07,801.08
0.25952,800.83,801.16,801.09,801.03
0.26041,801.21,800.95,801.04,801.07
0.26131,801,801.04,801.05,801.03
0.26248,801.25,800.91,801.01,801.06
0.26379,799.98,801.47,801.12,800.86
0.26452,801.14,800.93,801,801.03
0.26525,801.02,800.98,801.01,801
0.26652,801.05,800.94,800.99,800.99
0.26764,800.9,801,800.99,800.96
0.26876,801.23,800.82,800.94,801
0.26989,800.43,801.19,801.01,800.88
0.2709,801.6,800.66,800.9,801.05
0.27181,800.69,801.04,800.97,800.9
0.27268,801.07,800.86,800.93,800.95
0.2736,800.89,800.92,800.93,800.91
0.27466,800.99,800.87,800.91,800.92
0.27578,800.86,800.88,800.9,800.88
0.27676,800.93,800.88,800.9,800.9
0.27761,800.91,800.85,800.89,800.88
0.27849,800.89,800.86,800.88,800.88
0.27959,800.91,800.83,800.87,800.87
0.28086,800.71,800.93,800.88,800.84
0.28171,800.93,800.79,800.85,800.86
0.28257,800.84,800.83,800.85,800.84
0.28371,800.92,800.77,800.83,800.84
0.28506,800.31,801.06,800.88,800.75
0.28592,801.03,800.7,800.8,800.84
0.28678,800.76,800.82,800.82,800.8
0.28791,800.98,800.71,800.79,800.82
0.28925,799.92,801.14,800.87,800.64
0.28991,800.85,800.73,800.78,800.79
0.29057,800.81,800.75,800.78,800.78
0.29167,800.77,800.75,800.77,800.77
0.2931,800.9,800.69,800.75,800.78
0.29399,800.72,800.75,800.76,800.74
0.29488,800.78,800.72,800.75,800.75
0.29595,800.75,800.71,800.74,800.73
0.29716,800.72,800.74,800.74,800.74
0.298,800.75,800.69,800.72,800.72
0.29885,800.73,800.7,800.72,800.72
0.29996,800.75,800.67,800.71,800.71
0.30131,800.49,800.81,800.73,800.68
0.30214,800.78,800.64,800.69,800.7
0.30298,800.69,800.68,800.69,800.69
0.30414,800.76,800.63,800.68,800.69
0.30554,800.05,800.96,800.74,800.58
0.30637,800.86,800.57,800.65,800.69
0.3072,800.63,800.67,800.67,800.66
0.30836,800.79,800.58,800.64,800.67
0.30978,799.56,801.1,800.74,800.47
0.31043,800.69,800.6,800.64,800.64
0.31108,800.66,800.61,800.64,800.64
0.31212,800.63,800.62,800.63,800.63
0.31405,801.6,800.22,800.54,800.79
0.31473,800.57,800.63,800.62,800.61
0.3154,800.62,800.59,800.61,800.61
0.31655,800.63,800.58,800.6,800.6
0.31784,800.57,800.58,800.6,800.58
0.31878,800.61,800.58,800.59,800.59
0.31972,800.6,800.56,800.58,800.58
0.32079,800.56,800.58,800.58,800.58
0.32193,800.69,800.49,800.56,800.58
0.32296,800.4,800.65,800.59,800.55
0.32388,800.69,800.48,800.55,800.57
0.32482,800.48,800.58,800.57,800.54
0.32592,800.74,800.45,800.53,800.57
0.32716,799.84,800.86,800.61,800.44
0.328,800.77,800.43,800.52,800.57
0.32883,800.49,800.55,800.54,800.53
0.32996,800.66,800.46,800.52,800.55
0.33099,800.41,800.55,800.53,800.5
0.33202,800.65,800.47,800.51,800.54
0.33297,800.47,800.51,800.51,800.5
0.33385,800.53,800.49,800.51,800.51
0.33479,800.51,800.48,800.5,800.5
0.33589,800.49,800.5,800.5,800.5
0.33704,800.61,800.4,800.48,800.5
0.33805,800.33,800.57,800.51,800.47
0.33893,800.57,800.42,800.47,800.49
0.33986,800.43,800.49,800.49,800.47
0.34098,800.62,800.39,800.46,800.49
0.34225,799.84,800.75,800.53,800.37
0.3431,800.7,800.35,800.44,800.5
0.34396,800.4,800.48,800.47,800.45
0.34508,800.62,800.38,800.44,800.48
0.3461,800.32,800.49,800.46,800.42
0.34711,800.58,800.39,800.44,800.47
0.34805,800.4,800.44,800.44,800.43
0.34895,800.46,800.42,800.44,800.44
0.3499,800.44,800.41,800.43,800.43
0.351,800.42,800.43,800.43,800.43
0.35212,800.53,800.35,800.41,800.43
0.35311,800.29,800.48,800.44,800.41
0.354,800.5,800.36,800.41,800.42
0.35495,800.36,800.43,800.42,800.4
0.35608,800.56,800.32,800.39,800.43
0.35731,799.8,800.68,800.46,800.32
0.35818,800.64,800.29,800.38,800.44
0.35904,800.32,800.42,800.41,800.38
0.36016,800.56,800.31,800.38,800.42
0.36115,800.26,800.43,800.4,800.36
0.36215,800.49,800.34,800.38,800.4
0.3631,800.34,800.38,800.38,800.37
0.36403,800.4,800.37,800.38,800.38
0.365,800.38,800.35,800.37,800.37
0.36606,800.35,800.38,800.37,800.37
0.36713,800.45,800.3,800.35,800.37
0.36813,800.26,800.41,800.38,800.35
0.36907,800.46,800.3,800.35,800.37
0.37006,800.27,800.39,800.37,800.34
0.37116,800.57,800.24,800.33,800.38
0.37236,799.68,800.65,800.41,800.25
0.3734,801.26,799.98,800.27,800.5
0.37426,800.07,800.47,800.37,800.3
0.37504,800.4,800.31,800.34,800.35
0.37595,800.32,800.33,800.34,800.33
0.37734,800.52,800.25,800.32,800.36
0.3782,800.28,800.34,800.33,800.31
0.37907,800.35,800.31,800.32,800.33
0.38015,800.31,800.31,800.32,800.31
0.38142,800.34,800.33,800.32,800.33
